mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm
الرياض,شمال الرياض,حي القيروان,شمال شرقي,سكني أو تجاري,30.0,1535,3100
الرياض,شمال الرياض,حي المروج,شرق,سكني أو تجاري,30.0,875,3700
الرياض,شمال الرياض,حي بنبان,جنوب غربي,سكني,15.0,805,434
الرياض,شمال الرياض,حي الملقا,غرب,,20.0,900,4250
الرياض,شرق الرياض,حي اليرموك,غرب,سكني أو تجاري,36.0,1500,2300
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20.0,900,3000
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25.0,783,4000
الرياض,شمال الرياض,حي بنبان,شرق,,20.0,390,800
الدمام,,حي طيبة,جنوب,سكني,40.0,525,1600
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,450,3400
الرياض,شمال الرياض,حي الملقا,شمال,تجاري,36.0,2428,4000
الرياض,شمال الرياض,حي النخيل,شرق,سكني,12.0,600,4600
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25.0,1237,4300
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20.0,525,2700
الدمام,,حي بدر,شمال,تجاري,15.0,1695,4719
الرياض,شمال الرياض,حي النخيل,شرق,سكني,20.0,841,4000
الرياض,شمال الرياض,حي النخيل,غرب,سكني,15.0,391,4400
الرياض,شمال الرياض,حي الياسمين,جنوب شرقي,,15.0,1320,3350
الدمام,,حي الفرسان,شرق,,15.0,500,800
جدة,شمال جدة,حي البساتين,جنوب,سكني,15.0,598,3344
مكة المكرمة,,حي الراشدية,غرب,سكني,20.0,600,250
الخبر,,حي العقيق,غرب,سكني,40.0,437,800
الرياض,شرق الرياض,حي الروابي,جنوب,سكني,15.0,485,3000
بريدة,,حي الرحاب,شرق,سكني,15.0,350,985
الرياض,شمال الرياض,حي بنبان,شرق,سكني,20.0,960,950
الرياض,جنوب الرياض,حي المصانع,جنوب,,40.0,2416,2500
الرياض,شمال الرياض,حي الوادي,شمال شرقي,سكني,15.0,608,3000
الرياض,شمال الرياض,حي حطين,شمال,,15.0,603,3800
جدة,شمال جدة,حي الامواج,شرق,سكني,16.0,625,1840
جدة,شمال جدة,حي اللؤلؤ,شمال,سكني,25.0,300,2333
الدرعية,,حي الخالدية,شرق,سكني,15.0,420,2450
الرياض,شمال الرياض,حي حطين,غرب,سكني,15.0,960,3900
الرياض,شرق الرياض,حي النهضة,شرق,سكني,20.0,840,2000
الرياض,شمال الرياض,حي بنبان,جنوب,,20.0,1125,650
ثادق,,حي الديرة القديمة,3 شوارع,سكني,20.0,675,133
جدة,شمال جدة,حي الشراع,جنوب شرقي,سكني,16.0,600,2333
مكة المكرمة,,حي الشوقية,جنوب شرقي,سكني أو تجاري,15.0,404,4455
الرياض,غرب الرياض,حي ظهرة لبن,شمال,تجاري,40.0,1600,1500
الخبر,,حي الحمرا,شمال,سكني,20.0,1505,2800
ابها,,حي درة المنسك,شمال غربي,سكني أو تجاري,30.0,1700,1135
جدة,شمال جدة,حي الشراع,غرب,سكني,16.0,418,2392
الخبر,,حي الحمرا,شمال شرقي,سكني,20.0,1505,3000
جدة,شمال جدة,حي الرياض,شرق,سكني,32.0,875,971
الهفوف,,حي العزيزية,غرب,,15.0,400,750
الرياض,غرب الرياض,حي المهدية,شمال,سكني,15.0,450,1222
الرياض,شرق الرياض,حي الحمراء,جنوب,,20.0,1000,2700
الرياض,غرب الرياض,حي المهدية,غرب,سكني,20.0,750,2000
الرياض,شمال الرياض,حي المحمدية,شمال غربي,سكني,12.0,350,3500
الرياض,شمال الرياض,حي الربيع,شرق,سكني,12.0,567,3400
الرياض,شرق الرياض,حي النسيم الغربي,3 شوارع,,15.0,4050,1260
الرياض,شرق الرياض,حي اليرموك,غرب,سكني,15.0,700,2350
جدة,شمال جدة,حي الياقوت,شرق,سكني,25.0,525,2190
المزاحمية,,حي شخيب,3 شوارع,سكني,20.0,12000,350
الرياض,شرق الرياض,حي غرناطة,شرق,سكني,15.0,900,2700
الدرعية,,حي الدرعية الجديدة,غرب,سكني,15.0,375,2800
الرياض,شرق الرياض,حي المونسية,3 شوارع,سكني,20.0,9918,2000
الرياض,شرق الرياض,حي الروضة,شمال,سكني,15.0,304,3000
الرياض,شمال الرياض,حي النزهة,شمال,تجاري,30.0,762,4500
الرياض,شمال الرياض,حي المحمدية,غرب,سكني,12.0,552,4500
الرياض,غرب الرياض,حي ظهرة لبن,شمال غربي,سكني أو تجاري,40.0,1200,1
الهفوف,,حي الهدى,شرق,سكني,15.0,400,575
جدة,شمال جدة,حي الشراع,4 شوارع,سكني أو تجاري,25.0,12916,1936
الرياض,شرق الرياض,حي الشرق,جنوب,سكني,25.0,750,333
جدة,شمال جدة,حي الزمرد,شمال,سكني,32.0,900,1388
الرياض,شمال الرياض,حي الورود,شرق,سكني,12.0,560,3000
الرياض,شمال الرياض,حي الصحافة,شمال,سكني,12.0,262,3500
الخبر,,حي العقيق,جنوب,سكني,24.0,435,942
الرياض,شرق الرياض,حي قرطبة,شمال,سكني,15.0,720,2900
الدرعية,,حي الدرعية الجديدة,غرب,سكني,15.0,2000,500
الرياض,شرق الرياض,حي القادسية,شمال,سكني,15.0,900,1111
الرياض,شرق الرياض,حي اليرموك,جنوب,سكني,20.0,625,2600
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,20.0,367,3900
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,262,3550
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,15.0,405,3200
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18.0,812,4000
الرياض,غرب الرياض,حي المهدية,جنوب,تجاري,35.0,400,1500
الرياض,شمال الرياض,حي العقيق,جنوب,تجاري,80.0,1800,8000
الرياض,شرق الرياض,حي النسيم الشرقي,جنوب,سكني,30.0,750,1500
الخبر,,حي اللؤلؤ,غرب,سكني,30.0,1000,850
الرس,,حي الحوطة,غرب,سكني,15.0,1200,250
الدرعية,,حي شمال الدرعية,3 شوارع,سكني,20.0,988,4200
الرياض,جنوب الرياض,حي عكاظ,شمال غربي,سكني,20.0,332,1300
الرياض,شمال الرياض,حي النرجس,غرب,سكني,20.0,375,3300
الخبر,,حي التحلية,شرق,,15.0,357,1540
الرياض,غرب الرياض,حي طويق,3 شوارع,سكني,20.0,7900,1250
الرياض,غرب الرياض,حي ظهرة لبن,شرق,تجاري,30.0,400,1400
الرياض,شمال الرياض,حي المصيف,جنوب شرقي,تجاري,60.0,1925,6500
جدة,شمال جدة,حي السلامة,غرب,سكني,16.0,920,6000
الرياض,شرق الرياض,حي النظيم,شرق,تجاري,40.0,1200,2300
الرياض,شمال الرياض,حي الملقا,شرق,سكني,60.0,2000,3900
الرياض,شرق الرياض,حي الازدهار,غرب,سكني,20.0,299,3511
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,20.0,1125,3000
الرياض,شمال الرياض,حي الندى,غرب,سكني,15.0,8250,3400
الخبر,,حي اللؤلؤ,شمال غربي,سكني,20.0,880,965
الرياض,غرب الرياض,حي ضاحية نمار,جنوب شرقي,سكني,20.0,722,969
الرياض,شمال الرياض,حي العليا,شمال غربي,سكني,15.0,960,3125
الخبر,,حي التحلية,غرب,,20.0,1092,1150
جدة,شمال جدة,حي الشاطئ,غرب,سكني,30.0,2427,4500
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15.0,1089,3800
الرياض,شمال الرياض,حي النخيل,4 شوارع,,20.0,3419,3800
الرياض,غرب الرياض,حي ضاحية نمار,شرق,سكني,20.0,973,719
جدة,شمال جدة,حي الامواج,3 شوارع,سكني,15.0,2250,2000
ثادق,,حي الديرة القديمة,جنوب,,15.0,1350,200
الخبر,,حي الحمرا,غرب,سكني,20.0,2061,1250
الرياض,شمال الرياض,حي الملقا,شمال,سكني,18.0,600,4100
الرياض,شرق الرياض,حي الخليج,غرب,تجاري,40.0,945,2400
الرياض,شمال الرياض,حي حطين,شمال غربي,,20.0,1707,4500
الرياض,شمال الرياض,حي الملقا,شمال غربي,,15.0,750,3700
جدة,شمال جدة,حي الصوارى,غرب,سكني,15.0,1104,1358
الرياض,شمال الرياض,حي الملقا,3 شوارع,تجاري,20.0,6000,3200
الرياض,غرب الرياض,حي ظهرة لبن,شمال شرقي,سكني,20.0,5400,1650
الرياض,شرق الرياض,حي النظيم,غرب,تجاري,40.0,1200,1700
الرياض,شمال الرياض,حي الفلاح,غرب,سكني,20.0,800,3300
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,16.0,441,2350
الرياض,شمال الرياض,حي الربيع,شمال غربي,سكني,15.0,982,3300
بريدة,,حي عين الذيب,4 شوارع,سكني,20.0,840,625
جدة,جنوب جدة,حي المسرة,شرق,سكني,,900,450
الرياض,شرق الرياض,حي الشرق,غرب,,25.0,750,235
جدة,شمال جدة,حي الياقوت,شرق,سكني,16.0,525,1714
جدة,شمال جدة,حي ابحر الشمالية,غرب,سكني,15.0,611,2291
الرياض,شمال الرياض,حي بنبان,شرق,سكني,15.0,1400,1400
الخبر,,حي البحيرة,شرق,تجاري,100.0,875,7428
الرياض,شرق الرياض,حي الروضة,جنوب شرقي,سكني أو تجاري,30.0,1575,3492
الدرعية,,حي الخالدية,شمال,سكني,18.0,1050,3200
الدرعية,,حي الخالدية,شمال شرقي,سكني,18.0,1242,3300
الرياض,شرق الرياض,حي الريان,شرق,,30.0,750,3500
الرياض,شمال الرياض,حي المغرزات,شرق,سكني,15.0,600,3250
الرياض,جنوب الرياض,حي بدر,جنوب,تجاري,37.0,728,1050
الرياض,شمال الرياض,حي الملك عبدالله,3 شوارع,سكني أو تجاري,30.0,6500,4500
الرياض,شمال الرياض,حي الملقا,غرب,سكني,18.0,820,3900
الرياض,شرق الرياض,حي الحمراء,جنوب,سكني,20.0,875,3000
الرياض,شمال الرياض,حي الملقا,غرب,سكني,25.0,976,4300
الرياض,شرق الرياض,حي الحمراء,شمال,سكني,25.0,1128,3500
الرياض,شرق الرياض,حي القادسية,شمال شرقي,تجاري,40.0,5063,3500
الرياض,غرب الرياض,حي العريجاء الغربية,4 شوارع,سكني أو تجاري,100.0,5510,4900
الرياض,شمال الرياض,حي الياسمين,جنوب,سكني أو تجاري,36.0,750,4100
الرياض,شرق الرياض,حي الروضة,جنوب غربي,سكني,30.0,1908,3668
الرياض,شمال الرياض,حي حطين,شرق,سكني,28.0,700,3900
الرياض,شرق الرياض,حي الرمال,جنوب,,20.0,435,1700
الرياض,شمال الرياض,حي الفلاح,غرب,تجاري,36.0,1200,4300
الرياض,شرق الرياض,حي النسيم الشرقي,غرب,سكني,15.0,1080,1500
الرياض,شرق الرياض,حي قرطبة,3 شوارع,سكني,15.0,5850,3000
الرياض,شرق الرياض,حي الخليج,جنوب شرقي,سكني,15.0,750,1830
الرياض,شرق الرياض,حي الرمال,4 شوارع,سكني أو تجاري,30.0,13095,1300
الرياض,شمال الرياض,حي الملقا,غرب,سكني,18.0,443,4000
الرياض,شرق الرياض,حي القادسية,شرق,سكني,20.0,601,2000
الرياض,شمال الرياض,حي الياسمين,شمال غربي,سكني,15.0,840,3800
الرياض,شرق الرياض,حي الرمال,شمال,سكني,15.0,770,1300
الدرعية,,حي الخالدية,جنوب,سكني,20.0,500,3550
جدة,شمال جدة,حي الشاطئ,غرب,سكني,15.0,600,5500
الرياض,شمال الرياض,حي حطين,شمال,سكني,20.0,1200,3500
الرياض,شرق الرياض,حي المونسية,شمال شرقي,تجاري,30.0,900,2600
الدرعية,,حي الخالدية,4 شوارع,سكني,28.0,14250,3000
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,25.0,6400,4500
الرياض,شمال الرياض,حي العقيق,جنوب شرقي,سكني,15.0,400,3700
الرياض,شمال الرياض,حي الملقا,شرق,سكني,25.0,875,4500
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25.0,825,4500
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25.0,832,4810
الرياض,غرب الرياض,حي الرفيعة,شرق,سكني,15.0,442,2300
جدة,شمال جدة,حي الزمرد,جنوب,سكني,35.0,750,1533
الرياض,غرب الرياض,حي عرقة,شمال,سكني,15.0,2300,3400
الرياض,غرب الرياض,حي عرقة,شمال,سكني,15.0,2300,3600
المدينة المنورة,,حي الغابة,شرق,,15.0,1100,454
الرياض,غرب الرياض,حي ظهرة البديعة,شرق,سكني,12.0,437,1145
الرياض,شرق الرياض,حي المونسية,غرب,سكني,15.0,288,2450
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,25.0,10850,3900
الرياض,جنوب الرياض,حي عريض,غرب,سكني,15.0,500,660
الرياض,شرق الرياض,حي قرطبة,شمال,سكني,36.0,800,3750
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15.0,739,4000
الهفوف,,حي الملك فهد,غرب,سكني,30.0,900,450
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15.0,900,3200
الرياض,شمال الرياض,حي الصحافة,جنوب غربي,سكني,15.0,676,3350
المدينة المنورة,,حي السكب,جنوب,سكني,25.0,960,677
الرياض,غرب الرياض,حي ظهرة البديعة,جنوب,سكني,20.0,750,1750
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15.0,780,3000
الرياض,شمال الرياض,حي الصحافة,شمال شرقي,سكني,15.0,1309,3055
